type,title,desc,time,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,last_modify_ts,note_url
normal,外行人玩精华 内行人玩面霜,"兰蔻塑颜紧致霜🆚兰蔻百肽霜
	
💜兰蔻塑颜霜
25➕必买的抗初老面霜‼️
要是多做点广告估计美容院都要整垮了🤭
🥰兰蔻30年专研抗老，真不是随便说说
素颜霜里面的成分超nice～
✔️亚麻籽肽➕玻色因
老伙计C位出道！强强联合促进4种胶原再生 抗老第一大需求加倍满足
不管胶原流失多少 都给你补回来！什么细纹凹陷 细水长流都嘭起来
✔️377➕VC
赶走脸蛋黑色素 肤色更加透亮起来
提亮肤色➕抗氧去黄一起安排妥当
✔️鸟苷
鸟苷就像网兜一样 加强胶原内部支撑力
不给松弛一点可乘之机
讲真 每一个成分单独拉出来 都是抗老届顶流三管齐下
🌟非常独特的“雪融”质地 跟冰淇淋似的 触感细滑 一抹化开 好吸收 不会闷脸
	
💜兰蔻百肽霜
兰蔻这款新品塑颜百肽霜我感觉能大爆😍
3重高蛋白植物提取 包含300种植物胜肽
光看成分就知道它抗老有多🐮了
✔️300种植物胜肽
最贴近人体自身胜肽体系 为我们肌肤进行加法抗老 加胶原 加紧致 加焕活 甚至能促进珍贵的宝宝胶原
✔️玻尿酸➕烟酰胺
专攻粗燥纹路 去黄提亮 均匀肤色
想抗老不需要纠结 直接冲
🌟兰蔻百肽霜的质地和配方 都是品牌最新研究成果 更更侧重紧致了
而且肤感清润适合大部分肤质
基本不用挑 盲入就行 你一定会觉得很舒服～
	
💡总结：塑颜霜 也是在于抗老 但抗老效果确实比百肽霜弱一点 质地比百肽霜厚重
👉质地区别
塑颜霜质地柔润 更适合干皮使用
宝肽霜质地轻薄 适合需要对抗衰老或抗皱淡纹的人群
👉功效区别
塑颜霜主打美白紧致
宝肽霜主打淡纹亮肤紧致提拉
	
  ",1688519092000,琳家美妆 美貌研究所,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30spe98gmk60049e4t8ifeu7791bjdlg,494,246,150,270,,1707297990709,https://www.xiaohongshu.com/explore/64a4c1b40000000031008044
normal,真使用才敢说真话之兰蔻菁纯面霜, 我个人感觉这款面霜对于我这种中性皮肤有点偏油了 只适合秋冬用 我用的时候会顺便把脖子也抹上 没有感觉出有什么明显的效果 不过也没什么不好的 不建议油皮入 干性皮肤可以先试试小样儿 确实很滋润 干皮也建议晚上用[扯脸H][扯脸H]（我眼睛比较敏感这款面霜我用会有沙眼的感觉）,1675331901000,抹茶真好喝,https://sns-avatar-qc.xhscdn.com/avatar/63daa023627a7faf54858c6f.jpg,533,182,978,73,,1707297990713,https://www.xiaohongshu.com/explore/63db893d000000001d012746
normal,25➕新媒体人对菁纯面霜真实使用感受,"作为25➕的新媒体人，真的老的巨快，跟姐妹逛街的时候入手了兰蔻菁纯面霜（还有眼霜过几天出使用感受）
一开始还在用其他的面霜没打算开的，也是他的肤感吸引了
和面霜一样，质地是属于啫喱状，比较容易吸收，而且有一股淡淡的玫瑰味（后来查了一下是添加了玫瑰活性因子）
我买的是轻盈款，感觉肤感会更舒服，滋润款更适合干皮秋冬使用
主打的是抗氧化，使用下来提亮效果还是蛮不错的，最主要它没有视黄醇这种特别需要光保护的成分，而且补水效果真的顶
就是使用比较多，价格就显得有点小贵，不过使用下来的整体感受是可以无限回购的
	
    ",1663941410000,脏boy,https://sns-avatar-qc.xhscdn.com/avatar/612504415e414a00012ef086.jpg,487,186,62,37,,1707297990713,https://www.xiaohongshu.com/explore/632dbb22000000001200f5d3
normal,菁纯面霜打卡啦,"一年四季不同皮肤状态各种需求
[星R]菁纯面霜 清透版 （LIGHT流云霜）
油皮/混油肌肤定制，全新奶盖慕斯的质地，最轻薄的抗老面霜，高能成分渗透力达140%，推开就像云朵一样没有任何负担，一秒爆水!
[星R]菁纯轻盈版乳霜（SOFT经典版）
混合性肌定制，独特3T焕变质地，细腻的膏体抹开以后瞬间化成霜状，全脸推开以后霜化成绵密的乳状，吸收以后真的瞬间让你的皮肤感觉到什么叫久旱逢甘霖！
[星R]菁纯滋养版面霜（RICH滋润）
沙漠皮的挚爱版本，需要乳化的滋润面霜，浓郁的膏体在接触皮肤温度以后瞬间化成精油状态马上为皮肤注入能量！
	
           ",1688791640000,高新区兰蔻柜姐欣欣～,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30tlpkhthke0049sono5jvtocuniapl8,794,279,217,99,,1707297990714,https://www.xiaohongshu.com/explore/64a8ea58000000002b03e6e6
normal,兰蔻菁纯面霜怎么选？,"💪兰蔻菁纯面霜主打抗老，属于兰蔻的高端线产品，在我无限回购的同时也会推荐给我的老姐妹们！
使用⌛️一段时间之后脸部肉眼可见的变饱满了，皮肤就好像一下子膨了起来。针对熬夜之后的脸色暗沉、蜡黄、下垂，兰蔻菁纯面霜都能将此从深渊里拉回来，晚上用完之后，第二天早上会感觉脸蛋很细腻紧致有光泽，抗初老，熬夜党闭眼入！😴✨菁纯面霜分为三个版本，大家根据自己的情况理性选择！
🌬️Light流云霜， 适合油皮混油的宝子
💦Rich滋润版，适合干皮混干皮的宝子们
🌸Soft轻盈版，适合外油内干，中性的宝子们           @美妆薯",1691721349000,中外云采,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30t5vgcvtka005npt4p9g9fpe7s0bnjg,48,30,12,3,,1707297990715,https://www.xiaohongshu.com/explore/64d59e85000000000b02b622
normal,兰蔻菁纯面霜使用感,这个面霜一搜基本都是好评，于是就买了一瓶，使用感真的很差劲，硅感非常严重，哪有什么润而不腻，明明就是一层油浮在脸上而已，完全不会吸收，只会被枕头或者被子蹭干净。配料表第四和第十都是硅油，真搞不懂为什么要添加这么多硅油，很容易闷痘长闭口。,1692195445000,太阳公公天空照,https://sns-avatar-qc.xhscdn.com/avatar/62c8edf49f36893f0feb8f68.jpg,39,15,21,4,,1707297990715,https://www.xiaohongshu.com/explore/64dcda75000000000b02a9ab
normal,兰蔻菁纯面霜两个月对比,"←左是8.12日擦了护肤品之后的照片，→右是10.19日洗完脸还没有擦护肤品的状态。
8.12号之前一直使用的国内或者免税版本兰蔻菁纯四年的样子（中途偶尔也用用其他牌子或者早晚换着使用）。8.12号之后使用的美版兰蔻菁纯面霜。都是轻盈版。",1697723467000,momo,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30qcj45h3nu0g4ahang4bmo89bdtb678,129,21,58,13,,1707297990716,https://www.xiaohongshu.com/explore/6531344b0000000025020432
normal,emmm....兰蔻箐纯避雷篇,"简直是猪油膏附体的菁纯面霜
我一直搞不明白菁纯系列是怎么火起来的
质地不舒服，一言难尽
本人干敏肌
[生气R]我乳化后上脸还是浮在表面 吸收很慢！这个是主要
枕头上都是！
它家气垫是我用过最难用的气垫没有之一了
容易脱妆、斑驳、暗沉
真不知道这个价格怎么对得起业界良心的
真的是猪油附体  用一次长闭口了[生气R]
敏感肌还是注意下吧
还有夏天不要用",1693299041000,陳阿渔,https://sns-avatar-qc.xhscdn.com/avatar/64dc759e879c865fe9079d5b.jpg,35,8,124,3,,1707297990716,https://www.xiaohongshu.com/explore/64edb161000000001f03613c
normal,"兰蔻菁纯面霜也是公认的抗老进阶选项!
3个版本的菁纯面霜不仅在肤感上针对不同肤质的抗老需求做了区分，更在成分上做到了量肤定制。
三者核心都是传奇永盛玫瑰精萃+专研玻色因，一个加速细胞更新，一个充盈肌底，强强联手抗老!     ","兰蔻菁纯面霜也是公认的抗老进阶选项!
3个版本的菁纯面霜不仅在肤感上针对不同肤质的抗老需求做了区分，更在成分上做到了量肤定制。
三者核心都是传奇永盛玫瑰精萃+专研玻色因，一个加速细胞更新，一个充盈肌底，强强联手抗老!     ",1696923003000,深圳海雅兰蔻柜姐晓燕🌟,https://sns-avatar-qc.xhscdn.com/avatar/63945fe36aac44ce69fdd19f.jpg,146,61,11,30,,1707297990717,https://www.xiaohongshu.com/explore/6524fd7b000000001c014089
normal,再也不买兰蔻菁纯面霜了！不是不好用，是量！,"这是我今早新打开的兰蔻菁纯面霜。之前三八节活动买到的。结果一打开吓了我一跳，这量………是不是有点过分了。满30-15嘛？[黑薯问号R]
那这可真是泰裤辣！[吃瓜R]
我这还是在官网买的，本来早起上班就烦[生气R] [再见R]
 ",1683610581000,牛犇犇,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30n464ja95g004a6ucogas9r4uqk2180,272,51,177,15,,1707297990717,https://www.xiaohongshu.com/explore/6459dbd50000000013004023
normal,用过的3款面霜夸夸+吐槽,"雅诗兰黛胶原霜（无功无过没有用，二十刚出头用还行，挺贵的性价比不高）
兰蔻菁纯流云霜（油皮冲，感觉到皮肤被滋养了，但是不是油油的糊在脸上。抗老也在线）
阿玛尼黑钥匙面霜（封闭性太强了，我只能在秋冬用，而且要乳化，不然感觉推不开，效果是有的）
    ",1689851793000,淡紫独角鲸,https://sns-avatar-qc.xhscdn.com/avatar/6495c48adcfe9bf98349c73a.jpg,173,42,39,3,,1707297990718,https://www.xiaohongshu.com/explore/64b91791000000001201d62f
normal,2800块钱一瓶的兰蔻箐纯面霜好用不,用完一瓶兰蔻箐纯面霜的使用感，感觉效果不大，真的，对比雅诗兰黛白金面霜来说，这款箐纯面霜有点鸡肋了，就保湿，其它效果真的真的不明显[失望R][失望R] ,1687063133000,冰糖囤雪梨,https://sns-avatar-qc.xhscdn.com/avatar/652131efbac0f9be9feba3a9.jpg,130,58,396,16,,1707297990719,https://www.xiaohongshu.com/explore/648e8a5d000000002700210f
normal,兰蔻塑造百肽霜 避开广告 我看了1000个评论,"[仙女R]精选小仙女评价
	
1. 老款的好用，升级了应该更好用吧，以前的我用起美白垮脸都有效，就保湿差
2. 为什么停产，据说是为了搭配三管精华，所以把一些成分砍了，毕竟三管有的面霜也有
3. 旧版我用过三瓶推荐多次，负责任的说对油皮新版好用很多，质地轻盈了三倍起码 [笑哭R]，旧版是类似雪花膏，新版是轻薄乳霜，而且保湿力不差全新
4. 新版很合适我皮肤用完不油腻也很保湿光滑，觉得比老版更好用，质地上可接受的人群更广也更容易被接受，老版的千层液晶那种工艺更适合偏干一些的皮肤，搭配水一起用比较舒服[笑哭R]
5. 不如老款，问就是用过[笑哭R]，没有美白功效了，肤感更清爽了[笑哭R]
6.旧版也有肽，新版多加了一百种，然后把377换掉 用肽➕烟酰胺联合抗老了，新版专注抗老 ，不过旧版美白成分其实也不多，要美白的我一般都是直接推他家极光精华
	
#
其实这次更新主要加重了抗老，去掉了美白，品牌重点强调了“300植物胜肽”，普通消费者并不了解肽是什么？其实[向右R]肽是生命的基石，因为它们由多种氨基酸组成，它们的结合创造了无穷无尽的肽组合，它们都具有不同的能力。 众所周知，肽作用于皮肤的所有层：表皮、真皮表皮交界处和真皮，是皮肤对抗可见衰老迹象的最佳盟友。
几个胜肽就好，300个就是革命性的。 多肽有3种功能：
1. 载体肽：可以将矿物质输送到皮肤，促进胶原蛋白、弹性蛋白和其他结构蛋白，使皮肤看起来更紧致、更饱满。
2. 抑制肽：通过减缓人体胶原蛋白流失的自然过程来发挥作用。 它们还可能有助于防止色素沉着。
3. 信号肽：向皮肤不同部位发送信息，促进再生。
热衷抗老的🉑️选，还需美白的姐妹🉑️再加一美白精华[满月R]
       ",1683186172000,发光迪迪,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30ph5mide6k0049d2b2bob033d75simg,344,123,230,55,,1707297990719,https://www.xiaohongshu.com/explore/645361fc0000000027013b5a
normal,兰蔻菁纯面霜,说句被怼的话，我不怕，因为我觉得兰蔻菁纯真的比黑绷带好用，特别对于干皮的我。黑绷带还是适合偏油的妹子。仁者见仁 智者见智吧,1681556061000,果果,https://sns-avatar-qc.xhscdn.com/avatar/63041a933348339806bf630d.jpg,103,22,55,4,,1707297990720,https://www.xiaohongshu.com/explore/643a825d00000000120322e3
normal,百肽霜🆚雪花霜,"两款面霜都用过的姐妹举手🙋‍♀️🙋‍♀️🙋‍♀️
塑颜霜别名雪花霜，独家雪融质地，适合秋冬和干皮姐妹！
百肽霜，雪花霜的升级版，软糯质地一融即化，适合全肤质！！！敏感肌姐妹放心入～
功效升级：加发k老➕紧致➕胶原➕焕亮
百肽霜里添加了300种植物胜肽！直接把K老效果拉满，下颌线更加清晰，长效玻尿酸，全方位滋养肌肤，充盈饱满！
        ",1685378996000,高新区兰蔻柜姐欣欣～,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30tlpkhthke0049sono5jvtocuniapl8,250,89,131,101,,1707297990720,https://www.xiaohongshu.com/explore/6474d7b40000000013009c59
normal,抗老面霜大盘点！,"雅诗兰黛冻龄白金面霜
雪绒质地，一抹化为精油肤感，滋润又好吸收，
适合所有肤质，我自己用下来明显感觉皮肤非常饱满紧致苹果肌嘭嘭的，整个脸嘭嘭弹弹的，像是做了一次贵妇级面部spa~像皮肤干燥，敏感泛红，还可以早晚涂这个面霜急救，厚涂一晚上第二天皮肤即可修护回来，让肌肤有一种由内而外的健康光泽感（实际效果也因人而异哦）真不愧是贵妇抗老面霜的，做到面面俱到
兰蔻菁纯面霜
用过的应该都会喜欢！它做到了抗老滋润同时，肤感还非常能打，质地像乳酪，上脸很容易推开，很好吸收，润润的又不会油腻，滋润度相当高，平时出门我会涂个面霜在涂防晒，用下来效果还是不错的，皮肤看起来会非常透亮细腻，小脸也会紧致饱满很多～
SK- II大红瓶面霜
它质地轻薄，上脸非常亲肤好吸收，
推开后很好融入肌肤里，
抗老修护抗氧一手抓
可以滅缓肌肤老化速度，修护肌肤屏障，每次用完大红瓶真的会被惊艳到，像我经常熬夜，用下来真真切切感受到它的好！脸蛋紧致饱满不说，皮肤状态也很在线！
阿玛尼黑曜石面霜
这款的质地是丝绒质地，需要先乳化后在按压在脸上
它修护力和抗老效果都是杠杠的，像垮脸、泛红起皮啥的用它，真的会给你整的服服贴贴，用完之后整个脸蛋也会容水润紧致，这款不太适合夏天用哈",1682091828000,Minnnnnn,https://sns-avatar-qc.xhscdn.com/avatar/636106fd14433d88ae246632.jpg,2152,261,62,44,,1707297990721,https://www.xiaohongshu.com/explore/6442af3400000000130334ba
normal,HR黑绷带 实话实说,"第一瓶作为尝试在直播间抢的50ml，毕竟齁贵的面霜[汗颜R][汗颜R][汗颜R]
第二瓶作为回购果断100ml，是真的好用～
膏体质地，易吸收，不黏腻，香气好闻，
用完感觉皮肤稳定，至于抗不抗衰不敢妄下定论，毕竟才用了半年多。
照片是华为手机前置无美颜无滤镜午间自然光线下拍的，封在家里只做了基础护肤。   ",1669282882000,我是侯小倩💋,https://sns-avatar-qc.xhscdn.com/avatar/61a8de0f1501a59da4a19178.jpg,101,19,275,3,,1707298048220,https://www.xiaohongshu.com/explore/637f3c420000000022028f05
normal,赫莲娜黑绷带真的好用吗,"正确来讲黑绷带是不含任何乳化剂的
他是靠有机硅弹体创造出一个霜状的感觉
虽然看起来质地绵密
但是里面有特别的吸油粉体会吸走脸上多余的油分
不会带走你脸上的水分
用完脸上是哑光状态 油皮用更是没有任何负担
有预算的姐妹不用考虑
吃土的就算了 还有很多面霜可以考虑
总有一款适合你
买对不买贵 适合最重要 不跟风",1680082023000,小媛姐姐👄港链美妆2号,https://sns-avatar-qc.xhscdn.com/avatar/641aa9ba2a05a5c7c4813a50.jpg,2532,755,628,623,,1707298048224,https://www.xiaohongshu.com/explore/642404670000000027001c33
